x-axis,1,2
second,Volt,Volt
-2.600000E-06,+510.252505308E-03,+538.693491835E-03
-2.597400E-06,+480.403259397E-03,+546.231180197E-03
-2.594800E-06,+496.986173792E-03,+550.753793214E-03
-2.592200E-06,+520.202253945E-03,+539.698516950E-03
-2.589600E-06,+533.468585461E-03,+544.723642524E-03
-2.587000E-06,+510.252505308E-03,+549.246255541E-03
-2.584400E-06,+583.217328647E-03,+551.758818328E-03
-2.581800E-06,+496.986173792E-03,+543.718617409E-03
-2.579200E-06,+533.468585461E-03,+539.698516950E-03
-2.576600E-06,+523.518836824E-03,+545.226155082E-03
-2.574000E-06,+500.302756671E-03,+551.758818328E-03
-2.571400E-06,+480.403259397E-03,+538.190979278E-03
-2.568800E-06,+513.569088187E-03,+537.185954163E-03
-2.566200E-06,+490.353008034E-03,+551.758818328E-03
-2.563600E-06,+533.468585461E-03,+552.763843443E-03
-2.561000E-06,+533.468585461E-03,+546.733692754E-03
-2.558400E-06,+480.403259397E-03,+543.718617409E-03
-2.555800E-06,+496.986173792E-03,+551.758818328E-03
-2.553200E-06,+490.353008034E-03,+559.799019247E-03
-2.550600E-06,+533.468585461E-03,+551.256305771E-03
-2.548000E-06,+533.468585461E-03,+543.718617409E-03
-2.545400E-06,+480.403259397E-03,+549.748768099E-03
-2.542800E-06,+533.468585461E-03,+566.834195051E-03
-2.540200E-06,+533.468585461E-03,+560.301531805E-03
-2.537600E-06,+487.036425155E-03,+543.718617409E-03
-2.535000E-06,+510.252505308E-03,+557.286456460E-03
-2.532400E-06,+533.468585461E-03,+557.788969018E-03
-2.529800E-06,+533.468585461E-03,+559.799019247E-03
-2.527200E-06,+533.468585461E-03,+548.241230426E-03
-2.524600E-06,+576.584162889E-03,+543.718617409E-03
-2.522000E-06,+510.252505308E-03,+557.286456460E-03
-2.519400E-06,+586.533911526E-03,+554.271381116E-03
-2.516800E-06,+533.468585461E-03,+550.753793214E-03
-2.514200E-06,+533.468585461E-03,+540.201029507E-03
-2.511600E-06,+533.468585461E-03,+551.758818328E-03
-2.509000E-06,+500.302756671E-03,+549.246255541E-03
-2.506400E-06,+480.403259397E-03,+541.708567180E-03
-2.503800E-06,+496.986173792E-03,+534.673391376E-03
-2.501200E-06,+533.468585461E-03,+543.718617409E-03
-2.498600E-06,+533.468585461E-03,+551.256305771E-03
-2.496000E-06,+533.468585461E-03,+543.718617409E-03
-2.493400E-06,+533.468585461E-03,+530.150778359E-03
-2.490800E-06,+533.468585461E-03,+541.708567180E-03
-2.488200E-06,+573.267580010E-03,+543.718617409E-03
