f in Hz	Ampl. U_0	ampl U_i	phase in rad		phase in grad
15	27.0	0.44	3.14		180
30	27.0	0.44	3.12		179
60	27.0	0.44	3.12		179
120	27.0	0.44	3.09		177
240	27.0	0.44	3.09		177
480	27.0	0.44	3.09		177
960	27.0	0.44	3.07		176
1900	26.6	0.44	3.00		172
3800	26.3	0.44	2.83		162
7700	20.5	0.44	2.25		129
15000	10.8	0.44	1.73		99
30000	5.3	0.44	1.41		81
60000	3.1	0.44	1.31		75
120000	1.7	0.44	1.22		70
240000	1.3	0.44	1.13		65
